sortingNetworks-bitonic, Throughput = 42.9076 MElements/s, Time = 0.02444 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 512
sortingNetworks-bitonic, Throughput = 22.6719 MElements/s, Time = 0.04625 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
sortingNetworks-bitonic, Throughput = 22.7472 MElements/s, Time = 0.04610 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
sortingNetworks-bitonic, Throughput = 42.8690 MElements/s, Time = 0.02446 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 512
sortingNetworks-bitonic, Throughput = 22.7191 MElements/s, Time = 0.04615 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
sortingNetworks-bitonic, Throughput = 22.5665 MElements/s, Time = 0.04647 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
sortingNetworks-bitonic, Throughput = 42.0541 MElements/s, Time = 0.02493 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 512
sortingNetworks-bitonic, Throughput = 22.5660 MElements/s, Time = 0.04647 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
sortingNetworks-bitonic, Throughput = 22.5002 MElements/s, Time = 0.04660 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
sortingNetworks-bitonic, Throughput = 43.7947 MElements/s, Time = 0.02394 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 512
sortingNetworks-bitonic, Throughput = 42.4113 MElements/s, Time = 0.02472 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 512
sortingNetworks-bitonic, Throughput = 22.7117 MElements/s, Time = 0.04617 s, Size = 1048576 elements, NumDevsUsed = 1, Workgroup = 0
